Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.9993317741396592,2991.0,2991.0,0.0,2991.0,0.9993317741396592,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.9318409622452389,2789.0,2789.0,0.0,2789.0,0.9318409622452389,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
IDBA-UD,0.0,0.9512195121951219,2847.0,2847.0,0.0,2847.0,0.9512195121951219,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MEGAHIT,0.0,0.9996658870698296,2992.0,2992.0,0.0,2992.0,0.9996658870698296,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
MetaHipMer2,0.0,0.9989976612094889,2990.0,2990.0,0.0,2990.0,0.9989976612094889,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
metaSPAdes,1.0,0.5603073838957567,1677.0,1677.0,0.0,2847.0,0.9512195121951219,2.0,1.0,1.0,0.0,0.0,1.0193185809624166,1.0193185809624166,1.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.9081189442031407,2718.0,2718.0,0.0,2718.0,0.9081189442031407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,0.0,0.9996658870698296,2992.0,2992.0,0.0,2992.0,0.9996658870698296,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Unicycler,0.0,0.9642499164717675,2886.0,2886.0,0.0,2886.0,0.9642499164717675,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
