Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,1.0244595234338014,6522.0,6522.0,0.0,6337.0,1.0,1.0,0.9954001839926403,0.9954001839926403,0.0,0.0
IDBA-UD,0.7516174846141708,4793.0,4793.0,0.0,4763.0,0.7516174846141708,1.0,0.9937408721051534,0.9937408721051534,0.0,0.0
MEGAHIT,1.011204039766451,6795.0,6795.0,0.0,6337.0,1.0,1.0,0.9430463576158941,0.9430463576158941,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.66387880700647,4237.0,4237.0,0.0,6204.0,0.9790121508600284,2.0,0.99645975926363,0.9929195185272599,0.0,0.0
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.27615590973646836,1672.0,1672.0,0.0,4863.0,0.7673978223133975,3.0,0.9879598662207357,0.9638795986622074,0.0,0.0
SPAdes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unicycler,1.0,6367.0,6367.0,0.0,6337.0,1.0,1.0,0.9952882048060311,0.9952882048060311,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
